index,Job_Title,Rating,Company_Name,Year_Founded,Type_of_Ownership,Industry,Sector,Competitors,Revenue_USD_Low,Revenue_USD_High,Number_of_Employees_Low,Number_of_Employees_High,Headquarters_City,Headquarters_State/Country,Location_City,Location_State,Salary_Range_Low_Thousands_of_USD,Salary_Range_High_Thousands_of_USD,Excel_Skills,Python_Skills,Cloud_System_Skills,SQL_Skills,Tableau_Power_BI_Skills,ML_Skills,PhD,Skills_Sum
255,Data Scientist,3.9,Rapid Value Solutions,2009,Company - Private,IT Services,Information Technology,,,,201,500,Pleasanton,CA,San Francisco,CA,90,124,0,1,1,1,1,1,0,5
256,Environmental Data Science,3.1,Battelle,,Nonprofit Organization,Research & Development,Business Services,,5,10_000_000_000,10000+,10000+,Columbus,OH,Norwell,MA,90,124,1,0,0,1,0,1,0,3
257,Computational Behavioral Scientist,4.2,Ntrepid,2010,Company - Private,IT Services,Information Technology,"Bromium, FireEye, Authentic8",50,100_000_000,201,500,Herndon,VA,Herndon,VA,90,124,0,1,0,1,0,1,0,3
258,Data Scientist,5.0,"The Drive Media, Inc.",,,,,,,,,,,,New York,NY,90,124,1,1,0,1,0,1,0,4
259,Staff BI and Data Engineer,2.9,Affinity Solutions,1998,Company - Private,Advertising & Marketing,Business Services,"Commerce Signals, Cardlytics, Yodlee",,,51,200,New York,NY,San Jose,CA,90,124,0,1,0,1,0,1,0,3
260,Principal Machine Learning Scientist,4.7,Sage Intacct,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,,,501,1000,San Jose,CA,San Francisco,CA,90,124,0,1,0,1,0,1,1,4
261,Principal Data Scientist - Machine Learning,3.6,Constant Contact,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,"Drip, iContact, Mailchimp",,,,,Waltham,MA,Waltham,MA,90,124,1,1,1,0,1,1,1,6
262,Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,,,1001,5000,Lexington,MA,Lexington,MA,91,150,0,1,0,1,0,1,0,3
263,Associate Data Scientist,3.3,Puget Sound Energy,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",,2,5_000_000_000,1001,5000,Bellevue,WA,Bothell,WA,91,150,1,0,0,1,0,1,0,3
264,"Data Scientist - Statistics, Mid-Career",3.7,Pacific Northwest National Laboratory,1965,Government,Energy,"Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",500_000_000,1_000_000_000,1001,5000,Richland,WA,Richland,WA,91,150,0,0,0,0,0,1,1,2
265,Director of Data Science,3.8,Analysis Group,1981,Company - Private,Consulting,Business Services,,100,500_000_000,1001,5000,Boston,MA,Boston,MA,91,150,1,1,1,1,1,1,1,7
266,Data Scientist,3.2,US Pharmacopeia,,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,100,500_000_000,1001,5000,Rockville,MD,Rockville,MD,91,150,1,1,0,1,0,1,0,4
267,Data Scientist,4.6,Itlize Global,2010,Company - Private,IT Services,Information Technology,,10,25_000_000,201,500,Piscataway,NJ,Piscataway,NJ,91,150,0,1,0,0,0,1,0,2
268,Data Scientist,3.5,eBay,1995,Company - Public,Internet,Information Technology,"Amazon, Apple",10_000_000_000,,10000,,San Jose,CA,San Jose,CA,91,150,0,1,0,1,0,0,0,2
269,"Data Engineer, Digital & Comp Pathology",5.0,Paige,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,1,50,New York,NY,New York,NY,91,150,1,1,1,1,1,1,0,6
270,Data Engineer,4.1,Shape Security,2011,Company - Private,IT Services,Information Technology,,,,51,200,Mountain View,CA,Santa Clara,CA,91,150,0,1,1,0,1,1,0,4
271,"Manager / Lead, Data Science & Analytics",4.1,ABIOMED,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Covidien, Boston Scientific",100,500_000_000,1001,5000,Danvers,MA,Danvers,MA,91,150,1,1,0,1,0,1,0,4
272,Data Scientist,3.5,Comcast,1963,Company - Public,,,"AT&T, Verizon",10_000_000_000,,10000,,Philadelphia,PA,New York,NY,91,150,0,1,1,1,1,1,0,5
273,Data Scientist,3.2,"Metronome, LLC",2011,Company - Private,IT Services,Information Technology,,10,25_000_000,51,200,Fairfax,VA,Vienna,VA,91,150,0,1,0,1,0,1,0,3
274,Data Scientist,5.0,SkillSoniq,,Company - Public,,,,,,,,Jersey City,NJ,San Francisco,CA,91,150,0,1,0,1,0,1,0,3
275,Data Scientist,4.7,Lawrence Livermore National Lab,1952,Government,Federal Agencies,Government,"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories",1,2_000_000_000,1001,5000,Livermore,CA,Livermore,CA,91,150,1,1,0,0,0,1,0,3
276,Diversity and Inclusion Data Analyst,3.8,FHLBank Pittsburgh,,Company - Private,Banks & Credit Unions,Finance,,1,2_000_000_000,201,500,Pittsburgh,PA,Pittsburgh,PA,91,150,0,0,1,0,1,1,0,3
277,Data Scientist,3.6,Jacobs,1947,Company - Public,Architectural & Engineering Services,Business Services,"Fluor, Bechtel, AECOM",10_000_000_000,,10000,,Dallas,TX,Herndon,VA,91,150,0,1,1,1,1,1,0,5
278,Data Scientist,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,91,150,0,0,0,0,0,1,0,1
279,Data Scientist,3.3,Underwriters Laboratories,,Company - Private,Consulting,Business Services,"Intertek, SGS, Bureau Veritas",2,5_000_000_000,10000+,10000+,Northbrook,IL,Northbrook,IL,91,150,0,1,0,0,0,1,0,2
280,Data Scientist,3.7,Altus Group,2005,Company - Public,Real Estate,Real Estate,,100,500_000_000,1001,5000,Toronto,Canada,Irvine,CA,91,150,1,1,1,1,1,1,0,6
281,Data Scientist,5.0,Jobot,2018,Company - Private,Staffing & Outsourcing,Business Services,,25,50_000_000,51,200,Irvine,CA,Irvine,CA,91,150,1,1,0,1,0,1,0,4
282,Data Scientist,,Trovetechs Inc,,Company - Private,,,,,,,,Hillsborough,NJ,San Francisco,CA,91,150,0,0,0,0,0,1,0,1
283,Senior Analyst/Data Scientist,3.4,Edmunds.com,1966,Company - Private,Internet,Information Technology,"TrueCar, Cars.com, Kelley Blue Book",100,500_000_000,501,1000,Santa Monica,CA,Santa Monica,CA,141,225,1,1,1,1,1,1,0,6
284,Data Scientist,5.0,Cohere Health,2019,Company - Private,IT Services,Information Technology,,,,1,50,Boston,MA,Boston,MA,141,225,1,1,0,1,0,1,0,4
285,Data Scientist,,Trovetechs Inc,,Company - Private,,,,,,,,Hillsborough,NJ,San Francisco,CA,141,225,0,0,0,0,0,1,0,1
286,Senior Data Scientist - R&D Oncology,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,New York,NY,141,225,0,1,0,0,0,1,1,3
287,Data Scientist,4.2,Oshkosh Corporation,,Company - Public,Transportation Equipment Manufacturing,Manufacturing,"Lockheed Martin, Caterpillar, John Deere",5,10_000_000_000,10000+,10000+,Oshkosh,WI,Oshkosh,WI,141,225,1,1,0,1,0,1,0,4
288,Data Scientist,4.3,Joby Aviation,,Company - Private,,,,,,51,200,Santa Cruz,CA,San Carlos,CA,141,225,1,1,1,1,1,1,0,6
289,Data Scientist,3.4,Mackin,1960,Company - Private,Architectural & Engineering Services,Business Services,,10,25_000_000,51,200,Pittsburgh,PA,Menlo Park,CA,141,225,0,1,0,1,0,0,0,2
290,Data Scientist,,PETADATA,,Company - Private,,,,,,51,200,Fremont,CA,San Francisco,CA,141,225,1,1,0,1,0,1,0,4
291,Data Scientist,4.4,VBeyond Corporation,2006,Company - Private,Staffing & Outsourcing,Business Services,,5,10_000_000,201,500,Hillsborough,NJ,Dallas,TX,141,225,0,1,0,0,0,1,0,2
292,Data Scientist Machine Learning,3.5,Leidos,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,,10_000_000_000,,10000,,Reston,VA,Arlington,VA,141,225,0,1,1,0,1,1,0,4
293,Data Scientist,3.7,Take-Two,1993,Company - Public,Video Games,Media,"Activision Blizzard, Electronic Arts",1,2_000_000_000,1001,5000,New York,NY,San Francisco,CA,141,225,1,1,1,1,1,1,0,6
294,Data Scientist,3.7,Colony Brands,,Company - Private,Food & Beverage Stores,Retail,,100,500_000_000,501,1000,Monroe,WI,Monroe,WI,141,225,0,1,0,1,0,1,0,3
295,Data Scientist,4.1,Capio Group,,Hospital,Health Care Services & Hospitals,Health Care,,,,10000+,10000+,Goteborg,Sweden,Sacramento,CA,141,225,0,1,0,1,0,1,0,3
296,Data Scientist,3.4,SleePare,2017,Company - Private,Other Retail Stores,Retail,,,,1,50,New York,NY,New York,NY,141,225,0,1,0,1,0,1,0,3
297,Data Analyst,4.5,ShorePoint,2017,Company - Private,IT Services,Information Technology,,,,1,50,Washington,DC,Reston,VA,141,225,1,0,0,1,0,1,0,3
298,Data Scientist,3.5,Dolphin,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,,,,1001,5000,Lake Buena Vista,FL,New York,NY,141,225,0,1,0,1,0,1,0,3
299,Data Scientist,3.6,TE Connectivity,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,10_000_000_000,,10000,,Schaffhausen,Switzerland,Hampton,VA,141,225,0,0,0,0,0,0,0,0
300,Data Scientist,3.2,State of Virginia,,Government,State & Regional Agencies,Government,,10_000_000_000,,10000,,Richmond,VA,Richmond,VA,141,225,0,1,0,1,0,1,0,3
301,Data Scientist,3.7,TA Digital,2000,Company - Private,Computer Hardware & Software,Information Technology,,25,50_000_000,501,1000,Newark,CA,New York,NY,141,225,0,1,1,1,1,1,0,5
302,Data Scientist,4.0,Market America Inc,1992,Company - Private,Other Retail Stores,Retail,,100,500_000_000,501,1000,Greensboro,NC,Monterey,CA,141,225,1,1,0,0,0,1,1,4
303,Data Scientist,3.2,Triplebyte,2015,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,San Francisco,CA,Chicago,IL,145,225,0,0,0,0,0,1,0,1
304,Data Scientist,4.5,Kingfisher Systems,2005,Company - Private,Federal Agencies,Government,,25,50_000_000,51,200,Falls Church,VA,Mclean,VA,145,225,0,1,0,1,0,1,0,3
305,Chief Scientist,3.4,TrueAccord,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,51,200,San Francisco,CA,Remote,,145,225,0,1,0,0,0,1,1,3
306,Data Scientist,3.9,ALTA IT Services,2004,Company - Private,IT Services,Information Technology,,10,25_000_000,201,500,Rockville,MD,Woodlawn,MD,145,225,0,1,0,1,0,1,1,4
307,Data Scientist,3.2,Kollasoft Inc.,,Company - Private,IT Services,Information Technology,,1,5_000_000,1,50,Scottsdale,AZ,United States,,145,225,1,1,0,0,0,1,1,4
308,Data Scientist,5.0,Kollasoft Inc.,,Company - Public,,,,,,,,Irving,TX,New York,NY,145,225,1,1,0,0,0,1,1,4
309,Data Scientist,3.4,ASRC Federal Holding Company,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,,500_000_000,1_000_000_000,5001,10000,Beltsville,MD,Reston,VA,145,225,1,0,0,0,0,0,0,1
310,Data Scientist,4.4,Adwait Algorithm,2015,Company - Private,IT Services,Information Technology,,,,51,200,Houston,TX,New York,NY,145,225,0,1,0,1,0,1,1,4
311,"Health Plan Data Analyst, Sr",3.8,Cook Children's Health Care System,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"Children's Health, Texas Health Resources, Baylor Scott & White Health",100,500_000_000,5001,10000,Fort Worth,TX,Fort Worth,TX,145,225,0,0,0,0,0,1,0,1
312,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,Rubius Therapeutics,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,100,500_000_000,201,500,Cambridge,MA,Smithfield,RI,145,225,0,0,0,0,0,1,0,1
313,Data Scientist,3.5,Cambridge FX,1992,Company - Public,Financial Transaction Processing,Finance,,100,500_000_000,201,500,Toronto,Canada,Atlanta,GA,145,225,1,1,0,0,0,1,0,3
314,Senior Data Scientist,3.8,Metromile,2011,Company - Private,Insurance Carriers,Insurance,,,,201,500,San Francisco,CA,San Francisco,CA,145,225,0,1,1,1,1,1,0,5
315,Data Scientist,3.9,Criteo,2005,Company - Public,Internet,Information Technology,"MediaMath, Conversant, AppNexus",2,5_000_000_000,1001,5000,Paris,France,Ann Arbor,MI,145,225,0,1,0,0,0,1,0,2
316,Data Scientist,3.4,Advance Sourcing Concepts,,Company - Private,,,,1,5_000_000,51,200,Pittsburgh,PA,Pittsburgh,PA,145,225,0,1,1,1,1,1,0,5
317,Data Scientist,3.8,Enterprise Solutions Inc,2000,Company - Private,Staffing & Outsourcing,Business Services,,25,50_000_000,51,200,Naperville,IL,New York,NY,145,225,1,1,0,0,0,1,0,3
318,Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,1992,Company - Private,Lending,Finance,,100,500_000_000,501,1000,Cedar Rapids,IA,Cedar Rapids,IA,145,225,1,0,0,1,0,1,0,3
319,Data Scientist,,Microagility,,Company - Private,Consulting,Business Services,,1,5_000_000,1,50,Princeton,NJ,New York,NY,145,225,1,1,0,1,0,1,0,4
320,Data Scientist,4.6,"Conch Technologies, Inc",,Company - Private,Consulting,Business Services,,5,10_000_000,51,200,Memphis,TN,Concord,CA,145,225,0,0,0,0,0,1,0,1
321,"Development Scientist, Voltaren",3.9,GSK,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Pfizer, AstraZeneca, Merck",10_000_000_000,,10000,,Brentford,United Kingdom,Richmond,VA,145,225,0,0,1,0,1,1,0,3
322,Data Scientist,,"Rainmaker Resources, LLC",,Company - Private,,,,,,1,50,Cincinnati,OH,Cincinnati,OH,145,225,1,0,0,0,0,1,1,3
323,Data Scientist,3.7,GovTech,2016,Government,Federal Agencies,Government,,,,1001,5000,Singapore,Singapore,San Francisco,CA,79,147,1,1,0,0,0,1,0,3
324,Data Scientist,3.3,Intellectual Ventures,2000,Company - Private,Investment Banking & Asset Management,Finance,,,,501,1000,Bellevue,WA,Bellevue,WA,79,147,1,1,0,0,0,1,0,3
325,Data Engineer,4.4,Rocket Lawyer,2008,Company - Private,Computer Hardware & Software,Information Technology,,50,100_000_000,51,200,San Francisco,CA,San Francisco,CA,79,147,1,1,0,1,0,1,0,4
326,Data Scientist,3.7,22nd Century Technologies,1997,Company - Private,IT Services,Information Technology,,25,50_000_000,1001,5000,Somerset,NJ,Oakland,CA,79,147,0,0,0,1,0,1,0,2
327,Data Scientist,3.3,Huxley,1995,Company - Private,Staffing & Outsourcing,Business Services,,25,50_000_000,201,500,London,United Kingdom,San Francisco,CA,79,147,0,1,0,0,0,1,0,2
328,Data Scientist,3.4,FM Systems,1984,Company - Private,Computer Hardware & Software,Information Technology,"Archibus, iOffice, Planon",5,10_000_000,51,200,Raleigh,NC,Boston,MA,79,147,1,1,1,1,1,1,0,6
329,Data Scientist,,B4Corp,,Company - Private,IT Services,Information Technology,,,,51,200,Leesburg,VA,Reston,VA,79,147,1,1,0,1,0,1,0,4
330,Machine Learning Engineer,3.7,Mteq,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,"Harris, Fibertek",100,500_000_000,501,1000,Lorton,VA,Fort Belvoir,VA,79,147,0,1,0,0,0,1,0,2
331,Principal Data & Analytics Platform Engineer,3.7,Blue Cross and Blue Shield of North Carolina,,Company - Private,Insurance Carriers,Insurance,,5,10_000_000_000,1001,5000,Durham,NC,Durham,NC,79,147,1,1,1,1,1,1,0,6
332,Machine Learning Engineer/Scientist,4.8,Jane Street,2000,Company - Private,Investment Banking & Asset Management,Finance,,,,501,1000,New York,NY,New York,NY,79,147,0,0,0,0,0,1,0,1
333,Data Scientist,5.0,SSATI,2003,Company - Private,Computer Hardware & Software,Information Technology,,10,25_000_000,1,50,Annapolis Junction,MD,Mclean,VA,79,147,1,1,0,1,0,1,0,4
334,"Senior Data Scientist â Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,Basel,Switzerland,Cambridge,MA,79,147,0,0,0,0,0,1,0,1
335,Data Scientist,3.4,Solving IT International Inc,,Company - Private,,,,,,501,1000,Chicago,IL,Chicago,IL,79,147,1,0,0,0,0,1,0,2
336,Data Scientist,3.3,The Davey Tree Expert Company,,Self-employed,Timber Operations,Agriculture & Forestry,"ACRT Services, Bartlett Tree Experts",1,2_000_000_000,10000+,10000+,Kent,OH,Kent,OH,79,147,1,1,0,1,0,1,0,4
337,Data Scientist,4.6,Centauri,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,"TASC, Vencore, Booz Allen Hamilton",100,500_000_000,501,1000,Chantilly,VA,Reston,VA,79,147,0,0,0,1,0,1,0,2
338,Data Scientist,,Stride Search,,Company - Private,,,,1,1_000_000,1,50,Westlake Village,CA,San Francisco,CA,79,147,0,1,0,0,0,1,0,2
339,Machine Learning Engineer,2.6,Software Engineering Institute,1984,College / University,Colleges & Universities,Education,,,,501,1000,Pittsburgh,PA,Pittsburgh,PA,79,147,0,1,0,0,0,1,1,3
340,Data Analyst - Unilever Prestige,3.8,Dermalogica,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,"IMAGE Skincare, Aveda, Kiehl's",100,500_000_000,201,500,Carson,CA,Carson,CA,79,147,0,1,0,1,0,1,0,3
341,Data Scientist,4.8,TechProjects,2011,Company - Private,IT Services,Information Technology,,,,1,50,North Brunswick,NJ,New York,NY,79,147,1,1,0,1,0,1,0,4
342,"VP, Data Science",3.9,7Park Data,2012,Company - Private,Research & Development,Business Services,,,,51,200,New York,NY,New York,NY,79,147,1,1,0,0,0,1,1,4
343,Data Scientist,4.0,Netskope,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Skyhigh Networks, Zscaler, NortonLifeLock",,,501,1000,Santa Clara,CA,Santa Clara,CA,122,146,1,1,0,0,0,1,1,4
344,Data Scientist,4.2,Eversight,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,,10,25_000_000,51,200,Palo Alto,CA,Palo Alto,CA,122,146,0,1,0,0,0,1,0,2
345,Senior Business Intelligence Analyst,3.7,Protolabs,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,,100,500_000_000,1001,5000,Maple Plain,MN,Maple Plain,MN,122,146,0,0,0,1,0,1,0,2
346,Data Scientist,3.0,Ameritas Life Insurance Corp,,Company - Private,Insurance Agencies & Brokerages,Insurance,,2,5_000_000_000,1001,5000,Lincoln,NE,Cincinnati,OH,122,146,0,0,0,0,0,1,0,1
347,Data Engineer - Kafka,3.5,Western Digital,1970,Company - Public,Computer Hardware & Software,Information Technology,"Seagate Technology, Toshiba",10_000_000_000,,10000,,San Jose,CA,San Jose,CA,122,146,0,1,1,0,1,1,0,4
348,Data Scientist,2.9,"Shimento, Inc.",,Company - Private,,,,1,5_000_000,1,50,Benicia,CA,Santa Clara,CA,122,146,0,1,0,1,0,1,1,4
349,Data Scientist,5.0,Averity,2014,Company - Private,Staffing & Outsourcing,Business Services,,,,1,50,New York,NY,New York,NY,122,146,0,0,0,0,0,1,0,1
350,Data Scientist,4.7,Praxis Engineering,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton",100,500_000_000,201,500,Annapolis Junction,MD,Chantilly,VA,122,146,0,0,1,1,1,1,0,4
351,Data Scientist,,Point72 Ventures,,,,,,,,,,,,Palo Alto,CA,122,146,0,0,0,0,0,1,0,1
352,Decision Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",1,2_000_000_000,5001,10000,Laurel,MD,Laurel,MD,122,146,1,0,0,0,0,1,1,3
353,Data Scientist,4.9,Cambridge Mobile Telematics,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,1,50,Cambridge,MA,Cambridge,MA,122,146,0,1,1,0,1,1,1,5
354,Data Science All Star Program - Data Engineer Track,4.6,Blend360,2002,Company - Private,Consulting,Business Services,,,,51,200,Columbia,MD,Columbia,MD,122,146,0,1,1,1,1,1,1,6
355,Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,2011,Company - Private,IT Services,Information Technology,,1,5_000_000,1,50,Woodbine,MD,Annapolis Junction,MD,122,146,0,1,0,0,0,1,0,2
356,Data Analyst,3.9,Nolij Consulting,2012,Company - Public,Consulting,Business Services,,1,5_000_000,51,200,Vienna,VA,Falls Church,VA,122,146,1,1,0,1,0,1,0,4
357,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
358,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
359,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
360,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
361,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
362,Data Scientist,,Hatch Data Inc,,,,,,,,,,,,San Francisco,CA,122,146,0,1,1,0,1,1,0,4
363,Senior Data Scientist,3.5,Maxar Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,2,5_000_000_000,5001,10000,Westminster,CO,Herndon,VA,122,146,1,1,0,1,0,1,0,4
364,Data Scientist,4.3,Quick Base,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,201,500,Cambridge,MA,Cambridge,MA,112,116,1,1,0,1,0,1,0,4
365,Data Scientist,3.7,Takeda,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Novartis, Baxter, Pfizer",10_000_000_000,,10000,,Osaka,Japan,Cambridge,MA,112,116,0,1,0,1,0,1,1,4
366,Data Scientist,3.5,Maxar Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,2,5_000_000_000,5001,10000,Westminster,CO,Herndon,VA,112,116,0,1,0,1,0,1,0,3
367,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,1947,Nonprofit Organization,Research & Development,Business Services,"Los Alamos National Laboratory, Battelle, SRI International",500_000_000,1_000_000_000,1001,5000,San Antonio,TX,Oklahoma City,OK,112,116,1,1,0,0,0,1,0,3
368,Data Scientist,4.7,Compass Consulting Group,2008,Company - Private,Consulting,Business Services,,,,51,200,Danville,CA,Thousand Oaks,CA,112,116,0,1,0,1,0,1,0,3
369,Data Science Software Engineer,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,112,116,0,1,0,0,0,1,0,2
370,AI Ops Data Scientist,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,Gaithersburg,MD,112,116,0,1,1,1,1,1,0,5
371,Data Scientist,4.4,"SolutionIT, Inc.",,Company - Private,,,,,,51,200,Wilmington,MA,Edison,NJ,112,116,0,0,0,0,0,1,0,1
372,Data Scientist,3.2,Perspecta,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,,,,10000+,10000+,Chantilly,VA,Adelphi,MD,112,116,0,1,0,0,0,1,0,2
373,Data Scientist,4.5,Smith Hanley Associates,1980,Company - Private,Staffing & Outsourcing,Business Services,"Kforce, PageGroup, Robert Half",,,1,50,New York,,Washington,DC,112,116,0,1,0,1,0,1,1,4
374,Scientist - Machine Learning,3.5,Allen Institute,2003,Nonprofit Organization,Research & Development,Business Services,,100,500_000_000,201,500,Seattle,WA,Seattle,WA,112,116,0,0,0,0,0,1,1,2
375,Data Scientist,4.4,Eliassen Group,1989,Company - Private,Staffing & Outsourcing,Business Services,"TEKsystems, Kforce, Randstad US",100,500_000_000,1001,5000,Reading,MA,Plano,TX,112,116,0,1,0,0,0,1,0,2
376,Data Scientist,3.1,Bayside Solutions,2001,Company - Private,Staffing & Outsourcing,Business Services,,1,5_000_000,1,50,Pleasanton,CA,Sunnyvale,CA,112,116,1,1,0,1,0,1,0,4
377,Sr. Data Scientist,3.5,Evolve Vacation Rental,2011,Company - Private,Travel Agencies,Travel & Tourism,,,,201,500,Denver,CO,Denver,CO,112,116,0,1,0,1,0,1,1,4
378,Data Scientist,3.8,AgreeYa Solutions,1999,Company - Private,IT Services,Information Technology,,50,100_000_000,1001,5000,Folsom,CA,Thousand Oaks,CA,112,116,1,1,0,1,0,1,0,4
379,Data Scientist,3.7,Carolina Power & Light Co,,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities","South Carolina Electric & Gas, Virginia Electric and Power",,,5001,10000,Raleigh,NC,Mclean,VA,112,116,1,1,0,1,0,1,0,4
380,Analytics Manager - Data Mart,3.5,Central California Alliance for Health,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,500_000_000,1_000_000_000,501,1000,Scotts Valley,CA,Scotts Valley,CA,112,116,0,0,0,1,0,1,0,2
381,Data Modeler (Analytical Systems),3.7,MassMutual,,Company - Private,Insurance Carriers,Insurance,,10_000_000_000,,10000,,Springfield,MA,Boston,MA,112,116,1,0,0,1,0,1,0,3
382,Applied AI Scientist / Engineer,5.0,"New Iron Group, Inc.",2003,Self-employed,Computer Hardware & Software,Information Technology,,,,1,50,Austin,TX,Boston,MA,112,116,0,1,0,1,0,1,0,3
383,"Data Engineer (Analytics, SQL, Python, AWS)",4.0,Travelers,,Company - Public,Insurance Carriers,Insurance,,10_000_000_000,,10000,,Hartford,CT,Hartford,CT,112,116,0,1,1,1,1,1,0,5
384,Senior Data Analyst - Finance & Platform Analytics,3.6,Twitch,2011,Subsidiary or Business Segment,Internet,Information Technology,,,,1001,5000,San Francisco,CA,San Francisco,CA,112,116,0,1,0,1,0,1,0,3
385,Senior Data Scientist,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,110,163,0,0,0,0,0,1,0,1
386,Market Research Data Scientist,3.8,GutCheck,2009,Company - Private,Advertising & Marketing,Business Services,"Nielsen, Zappi, SurveyMonkey",10,25_000_000,51,200,Denver,CO,Denver,CO,110,163,1,0,0,0,0,1,0,2
387,IT Partner Digital Health Technology and Data Science,3.6,Biogen,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,Cambridge,MA,Cambridge,MA,110,163,1,0,0,0,0,1,0,2
388,Data Scientist,,HireAi,,,,,,,,,,,,San Francisco,CA,110,163,1,1,0,1,0,1,0,4
389,Data Scientist,,HireAi,,,,,,,,,,,,San Francisco,CA,110,163,1,1,0,1,0,1,0,4
390,"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Redwood City,CA,110,163,0,1,1,1,1,1,1,6
391,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",4.1,Mentor Graphics,1981,Company - Public,Computer Hardware & Software,Information Technology,"Cadence Design Systems, Synopsys, Altium Limited",1,2_000_000_000,5001,10000,Wilsonville,OR,Fremont,CA,110,163,1,1,0,0,0,1,0,3
